Midascontactid,Createdat,Emailpermissionstatus,Cont.Acq.Src,Email.Src.First,Segment,Segmentsecondary,Email.Acq.Dt,Email.Pref.Ch.Dt,Entry.Point.List,Cont.Acq.Src2,Cont.Acq.Dte,Prod.Buy.Last,Prod.Buy.First,Prod.Buy.Accessories,Prod.Buy.All.In.One.Desktop,Prod.Buy.Desktop,Prod.Buy.Idc,Prod.Buy.Idpd,Prod.Buy.Laptop,Prod.Buy.Servers,Prod.Buy.Software,Prod.Buy.Thnkc,Prod.Buy.Thnkp,Prod.Buy.Warranties,Prod.Buy.Workstation,Prod.Buy.Android.Tablet,Prod.Buy.Windows.Tablet,Prod.Buy.Convertible,Prod.Buy.Android.Os,Prod.Buy.Gaming,Prod.Buy.Windows.Os,Prod.Buy.Gaming.Related,Country,Eml.Sent.Num,Eml.Sent.First.Ts,Eml.Sent.Last.Ts,Eml.Open.Num,Eml.Open.First.Ts,Eml.Open.Last.Ts,Eml.Click.Num,Eml.Click.First.Ts,Eml.Click.Last.Ts,Eml.Bounce.Last.Ts,Eml.Unsub.Last.Ts,Eml.Spam.Last.Ts,Email.Domain,Em.Pref.Status,Em.Pref.Dte,Invalid.Email.Dte,Em.Spamclplt.Dte
1045038704,26/12/2019,U,OOBWIN15,,CON,,NA,25/12/2019,|OOBWIN1506|,OOBWIN15,25/12/2019,25/12/2019,25/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,19,02/01/2020,20/02/2020,1,02/01/2020,02/01/2020,0,NA,NA,NA,NA,NA,me.com,U,25/12/2019,NA,NA
1042789853,16/10/2019,I,OOBWIN15,OOBWIN15,CON,,16/10/2019,16/10/2019,|OOBWIN1506|,OOBWIN15,16/10/2019,16/10/2019,16/10/2019,NA,NA,NA,NA,16/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,34,16/10/2019,13/01/2020,3,16/10/2019,28/11/2019,1,25/10/2019,25/10/2019,NA,NA,NA,gmail.com,I,16/10/2019,NA,NA
1046208956,01/02/2020,I,OOBWIN15,OOBWIN15,CON,,01/02/2020,01/02/2020,|OOBWIN1506|,OOBWIN15,01/02/2020,01/02/2020,01/02/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,1,01/02/2020,01/02/2020,0,NA,NA,0,NA,NA,NA,NA,NA,outlook.com,I,01/02/2020,NA,NA
1044608412,15/12/2019,I,ADBEMA19,ADBEMA19,CON,,16/12/2019,16/12/2019,|ADBEMA1906|HYBORD1502|HYBRIS1506|SAPCRMSHIP120501|,ADBEMA19,16/12/2019,16/12/2019,16/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,27,15/12/2019,20/02/2020,11,19/12/2019,17/02/2020,0,NA,NA,NA,NA,NA,windstream.net,I,16/12/2019,NA,NA
1044489803,13/12/2019,U,OOBWIN15,,CON,,NA,12/12/2019,|OOBWIN1506|,OOBWIN15,12/12/2019,12/12/2019,12/12/2019,NA,NA,NA,NA,12/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,1,24/12/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,12/12/2019,NA,NA
1046830780,28/02/2020,U,OOBWIN15,,CON,,NA,26/02/2020,|OOBWIN1506|,OOBWIN15,26/02/2020,26/02/2020,26/02/2020,NA,NA,NA,NA,26/02/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,outlook.com,U,26/02/2020,NA,NA
1040126039,23/08/2019,U,OOBWIN15,,CON,,NA,22/08/2019,|OOBWIN1506|,OOBWIN15,22/08/2019,22/08/2019,22/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,2,25/11/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,outlook.com,U,22/08/2019,NA,NA
1038993792,27/06/2019,I,HWDCGS19,HWDCGS19,CON,,21/06/2019,12/11/2019,|HWDCGS1905|HWDHEL1908|,HWDCGS19,21/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,144,27/06/2019,20/02/2020,2,20/11/2019,06/12/2019,0,NA,NA,NA,NA,NA,gmail.com,I,12/11/2019,NA,NA
1042375321,01/10/2019,I,OOBWIN15,OOBWIN15,CON,,01/10/2019,01/10/2019,|OOBWIN1506|,OOBWIN15,01/10/2019,01/10/2019,01/10/2019,NA,NA,NA,NA,01/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,36,01/10/2019,13/01/2020,0,NA,NA,0,NA,NA,NA,NA,NA,hotmail.com,I,01/10/2019,NA,NA
1041279435,01/09/2019,I,OOBWIN15,OOBWIN15,CON,,31/08/2019,31/08/2019,|OOBWIN1506|,OOBWIN15,31/08/2019,31/08/2019,31/08/2019,NA,NA,NA,NA,31/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,3,01/09/2019,17/09/2019,2,02/09/2019,19/09/2019,0,NA,NA,NA,NA,NA,gmail.com,I,31/08/2019,NA,NA
1045596955,13/01/2020,I,OOBWIN15,OOBWIN15,CON,,13/01/2020,13/01/2020,|OOBWIN1506|,OOBWIN15,13/01/2020,13/01/2020,13/01/2020,NA,NA,NA,NA,13/01/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,1,13/01/2020,13/01/2020,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,I,13/01/2020,NA,NA
1046078816,26/01/2020,I,OOBWIN15,OOBWIN15,CON,,26/01/2020,26/01/2020,|OOBWIN1506|,OOBWIN15,26/01/2020,26/01/2020,26/01/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,1,26/01/2020,26/01/2020,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,I,26/01/2020,NA,NA
1044061729,05/12/2019,I,ADBEMA19,ADBEMA19,CON,,05/12/2019,05/12/2019,|ADBEMA1906|,ADBEMA19,05/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,38,05/12/2019,20/02/2020,36,05/12/2019,18/02/2020,1,09/12/2019,09/12/2019,NA,NA,NA,gmail.com,I,05/12/2019,NA,NA
211051814,03/02/2020,I,JIGSAW,JIGSAW,VSB,AFF,11/03/2010,27/01/2020,|JIGSAW|SAPCRMSHIP120501|,JIGSAW,11/03/2010,27/01/2020,26/01/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/01/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,13,29/01/2020,05/03/2020,1,29/01/2020,29/01/2020,0,NA,NA,NA,NA,NA,jbbush.com,I,11/03/2010,NA,NA
1038137368,28/04/2019,U,OOBWIN15,,CON,,NA,27/04/2019,|OOBWIN1506|,OOBWIN15,27/04/2019,27/04/2019,27/04/2019,NA,27/04/2019,NA,27/04/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,191,28/04/2019,20/02/2020,54,30/04/2019,17/02/2020,1,30/05/2019,30/05/2019,NA,NA,NA,yahoo.com,U,27/04/2019,NA,NA
1037883289,09/04/2019,U,OOBWIN15,,CON,,NA,08/04/2019,|OOBWIN1506|,OOBWIN15,08/04/2019,08/04/2019,08/04/2019,NA,NA,NA,NA,08/04/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,8,09/04/2019,20/02/2020,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,08/04/2019,NA,NA
1031019546,13/01/2020,O,DNBAPI16,HYBRIS15,SMB,AFF,29/06/2018,05/06/2019,|DNBAPI1609|HYBORD1502|HYBRIS1506|SAPCRMSHIP120501|,DNBAPI16,29/06/2018,05/06/2019,29/06/2018,NA,NA,NA,NA,05/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2018,NA,05/06/2019,US,63,29/06/2018,08/05/2019,12,29/06/2018,09/05/2019,2,09/07/2018,19/04/2019,NA,NA,NA,yahoo.com,O,08/05/2019,NA,NA
1042331137,29/09/2019,I,ADBEMA19,ADBEMA19,CON,,29/09/2019,23/10/2019,|ADBEMA1906|,ADBEMA19,29/09/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,59,29/09/2019,20/02/2020,2,29/09/2019,17/02/2020,2,29/09/2019,17/02/2020,NA,NA,NA,gmail.com,I,23/10/2019,NA,NA
1037769268,01/04/2019,U,OOBWIN15,,CON,,NA,31/03/2019,|OOBWIN1506|,OOBWIN15,31/03/2019,31/03/2019,31/03/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/03/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,73,06/04/2019,14/08/2019,10,27/04/2019,15/08/2019,2,13/08/2019,15/08/2019,NA,NA,NA,trygghansa.se,U,31/03/2019,NA,NA
